energy#1, (U= 500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.36959971E+02        0.43292208E+05      0.97520571E-06      0.14903263E-06       0       0
   1   0.25771421E+00      0.29815738E+01      -0.33898388E+02        0.43299954E+05      0.69876433E-06      0.14726440E-06       0       0
   2   0.51542841E+00      0.28642190E+01      -0.30975492E+02        0.43330938E+05      0.54718872E-06      0.14377348E-06       0       0
   3   0.77314262E+00      0.27488732E+01      -0.28168946E+02        0.43377413E+05      0.12198370E-05      0.13865118E-06       0       0
   4   0.10308568E+01      0.26338072E+01      -0.25477606E+02        0.43439381E+05      0.10208240E-05      0.13203205E-06       0       0
   5   0.12885710E+01      0.25184695E+01      -0.22901467E+02        0.43516841E+05      0.49647811E-06      0.12408994E-06       0       0
   6   0.15462852E+01      0.24025587E+01      -0.20440953E+02        0.43609792E+05      0.69826458E-06      0.11503216E-06       0       0
   7   0.18039994E+01      0.22858498E+01      -0.18096749E+02        0.43725982E+05      0.95276886E-06      0.10509529E-06       0       0
   8   0.20617136E+01      0.21681443E+01      -0.15869752E+02        0.43849917E+05      0.59399178E-06      0.94536046E-07       0       0
   9   0.23194278E+01      0.20492516E+01      -0.13761054E+02        0.43997091E+05      0.54095188E-06      0.83639584E-07       0       0
  10   0.25771421E+01      0.19289821E+01      -0.11771937E+02        0.44167502E+05      0.11051419E-05      0.72675488E-07       0       0
  11   0.28348563E+01      0.18071447E+01      -0.99038739E+01        0.44353405E+05      0.10313731E-05      0.61923688E-07       0       0
  12   0.30925705E+01      0.16835467E+01      -0.81585282E+01        0.44562546E+05      0.64471910E-06      0.51629656E-07       0       0
  13   0.33502847E+01      0.15579904E+01      -0.65377597E+01        0.44794925E+05      0.50823820E-06      0.42014503E-07       0       0
  14   0.36079989E+01      0.14302432E+01      -0.50436429E+01        0.45050542E+05      0.60113586E-06      0.33249914E-07       0       0
  15   0.38657131E+01      0.12999639E+01      -0.36785393E+01        0.45329397E+05      0.77285933E-06      0.25470825E-07       0       0
  16   0.41234273E+01      0.11668954E+01      -0.24451097E+01        0.45639236E+05      0.53492555E-06      0.18790636E-07       0       0
  17   0.43811415E+01      0.10308785E+01      -0.13462228E+01        0.45987804E+05      0.63194144E-06      0.13267987E-07       0       0
  18   0.46388557E+01      0.89189205E+00      -0.38483753E+00        0.46359611E+05      0.88329133E-06      0.88938634E-08       0       0
  19   0.48965699E+01      0.74995955E+00       0.43608827E+00        0.46770147E+05      0.97441695E-06      0.55881744E-08       0       0
  20   0.51542841E+01      0.60490793E+00       0.11135220E+01        0.47219413E+05      0.66898041E-06      0.32293057E-08       0       0
  21   0.54119983E+01      0.45776723E+00       0.16448596E+01        0.47707409E+05      0.67769402E-06      0.16827872E-08       0       0
  22   0.56697125E+01      0.31048055E+00       0.20289835E+01        0.48234135E+05      0.62926231E-06      0.76529894E-09       0       0
  23   0.59274267E+01      0.16539229E+00       0.22669199E+01        0.48784098E+05      0.57080971E-06      0.29152236E-09       0       0
  24   0.61851409E+01      0.29096735E-01       0.23641644E+01        0.49334062E+05      0.14044094E-05      0.95456976E-10       0       0
  25   0.64428551E+01     -0.90241598E-01       0.23335920E+01        0.49853042E+05      0.12810442E-05      0.39834802E-10       0       0
  26   0.67005693E+01     -0.18080423E+00       0.21980691E+01        0.50279070E+05      0.47553856E-06      0.35371706E-10       0       0
  27   0.69582835E+01     -0.23537825E+00       0.19899778E+01        0.50550179E+05      0.47583607E-06      0.38480330E-10       0       0
  28   0.72159978E+01     -0.25191934E+00       0.17463290E+01        0.50643130E+05      0.47402242E-06      0.33795189E-10       0       0
  29   0.74737120E+01     -0.23891786E+00       0.15009104E+01        0.50565671E+05      0.47232975E-06      0.26667557E-10       0       0
  30   0.77314262E+01     -0.21247727E+00       0.12752129E+01        0.50395259E+05      0.47128285E-06      0.18851587E-10       0       0
  31   0.79891404E+01     -0.18219900E+00       0.10778747E+01        0.50170626E+05      0.47031063E-06      0.13211654E-10       0       0
  32   0.82468546E+01     -0.15342906E+00       0.91006070E+00        0.49930501E+05      0.46890931E-06      0.89706020E-11       0       0
  33   0.85045688E+01     -0.12820113E+00       0.76924561E+00        0.49690376E+05      0.46770433E-06      0.57287508E-11       0       0
  34   0.87622830E+01     -0.10658016E+00       0.65185496E+00        0.49450251E+05      0.87955761E-06      0.40634163E-11       0       0
  35   0.90199972E+01     -0.88350010E-01       0.55438988E+00        0.49217872E+05      0.46519198E-06      0.28421709E-11       0       0
  36   0.92777114E+01     -0.73236088E-01       0.47359683E+00        0.49000985E+05      0.51666764E-06      0.16875390E-11       0       0
  37   0.95354256E+01     -0.60924319E-01       0.40651663E+00        0.48784098E+05      0.46224780E-06      0.82156504E-12       0       0
  38   0.97931398E+01     -0.51040812E-01       0.35053406E+00        0.48574957E+05      0.12125465E-05      0.39968029E-12       0       0
  39   0.10050854E+02     -0.43062377E-01       0.30348247E+00        0.48373562E+05      0.45930725E-06      0.66613381E-12       0       0
  40   0.10308568E+02     -0.36379795E-01       0.26376138E+00        0.48172167E+05      0.45776588E-06      0.95479180E-12       0       0
  41   0.10566282E+02     -0.30832099E-01       0.23015543E+00        0.47970772E+05      0.83516903E-06      0.52180482E-12       0       0
  42   0.10823997E+02     -0.26279699E-01       0.20159953E+00        0.47777123E+05      0.82135746E-06      0.64392935E-12       0       0
  43   0.11081711E+02     -0.22502983E-01       0.17720819E+00        0.47575727E+05      0.45287309E-06      0.86597396E-12       0       0
  44   0.11339425E+02     -0.19303822E-01       0.15630479E+00        0.47374332E+05      0.45116805E-06      0.49960036E-12       0       0
  45   0.11597139E+02     -0.16633678E-01       0.13833604E+00        0.47172937E+05      0.44943199E-06      0.83266727E-12       0       0
  46   0.11854853E+02     -0.14422202E-01       0.12280810E+00        0.46963796E+05      0.44760041E-06      0.57731597E-12       0       0
  47   0.12112568E+02     -0.12550805E-01       0.10932160E+00        0.46762401E+05      0.44573783E-06      0.28865799E-12       0       0
  48   0.12370282E+02     -0.10946714E-01       0.97572836E-01        0.46553260E+05      0.71238583E-06      0.66613381E-12       0       0
  49   0.12627996E+02     -0.95834302E-02       0.87307764E-01        0.46336373E+05      0.44190348E-06      0.73274720E-12       0       0
  50   0.12885710E+02     -0.84295532E-02       0.78301272E-01        0.46119486E+05      0.43989850E-06      0.95479180E-12       0       0
  51   0.13143424E+02     -0.74332521E-02       0.70369869E-01        0.45894853E+05      0.55389769E-06      0.39968029E-12       0       0
  52   0.13401139E+02     -0.65681308E-02       0.63369178E-01        0.45670220E+05      0.99104223E-06      0.75495166E-12       0       0
  53   0.13658853E+02     -0.58222819E-02       0.57173971E-01        0.45437841E+05      0.43361644E-06      0.51070259E-12       0       0
  54   0.13916567E+02     -0.51781181E-02       0.51673771E-01        0.45205462E+05      0.12137772E-05      0.42188475E-12       0       0
  55   0.14174281E+02     -0.46100133E-02       0.46779706E-01        0.44965337E+05      0.11692538E-05      0.58841820E-12       0       0
  56   0.14431996E+02     -0.41158318E-02       0.42416783E-01        0.44717466E+05      0.42686943E-06      0.13877788E-11       0       0
  57   0.14689710E+02     -0.36880767E-02       0.38514829E-01        0.44469595E+05      0.96267652E-06      0.42188475E-12       0       0
  58   0.14947424E+02     -0.33087343E-02       0.35016424E-01        0.44213978E+05      0.92910472E-06      0.26645353E-12       0       0
  59   0.15205138E+02     -0.29731716E-02       0.31875471E-01        0.43950615E+05      0.41963850E-06      0.28865799E-12       0       0
  60   0.15462852E+02     -0.26766864E-02       0.29050542E-01        0.43687252E+05      0.12393635E-05      0.79936058E-12       0       0
  61   0.15720567E+02     -0.24139128E-02       0.26505242E-01        0.43416143E+05      0.41453401E-06      0.48849813E-12       0       0
  62   0.15978281E+02     -0.21805998E-02       0.24207986E-01        0.43137289E+05      0.41189450E-06      0.64392935E-12       0       0
  63   0.16235995E+02     -0.19730096E-02       0.22131181E-01        0.42850688E+05      0.82043697E-06      0.39968029E-12       0       0
  64   0.16493709E+02     -0.17879607E-02       0.20250696E-01        0.42564087E+05      0.47478179E-06      0.47739590E-12       0       0
  65   0.16751423E+02     -0.16226804E-02       0.18545375E-01        0.42261994E+05      0.51159497E-06      0.10658141E-11       0       0
  66   0.17009138E+02     -0.14748040E-02       0.16996633E-01        0.41959902E+05      0.97130898E-06      0.39968029E-12       0       0
  67   0.17266852E+02     -0.13422601E-02       0.15588101E-01        0.41650063E+05      0.10984156E-05      0.44408921E-12       0       0
  68   0.17524566E+02     -0.12232568E-02       0.14305342E-01        0.41332478E+05      0.95097706E-06      0.46629367E-12       0       0
  69   0.17782280E+02     -0.11162345E-02       0.13135597E-01        0.41007148E+05      0.58795912E-06      0.33306691E-12       0       0
  70   0.18039994E+02     -0.10198327E-02       0.12067563E-01        0.40674071E+05      0.38851117E-06      0.44408921E-12       0       0
  71   0.18297709E+02     -0.93287160E-03       0.11091211E-01        0.40340995E+05      0.38528390E-06      0.46629367E-12       0       0
  72   0.18555423E+02     -0.85429177E-03       0.10197629E-01        0.39992426E+05      0.10995651E-05      0.77715612E-12       0       0
  73   0.18813137E+02     -0.78318828E-03       0.93788893E-02        0.39636112E+05      0.46042812E-06      0.48849813E-12       0       0
  74   0.19070851E+02     -0.71876706E-03       0.86279117E-02        0.39279797E+05      0.66390695E-06      0.12434498E-11       0       0
  75   0.19328565E+02     -0.66030189E-03       0.79383772E-02        0.38907991E+05      0.37161778E-06      0.45519144E-12       0       0
  76   0.19586280E+02     -0.60717770E-03       0.73046374E-02        0.38528438E+05      0.36800362E-06      0.38857806E-12       0       0
  77   0.19843994E+02     -0.55884261E-03       0.67216272E-02        0.38141140E+05      0.36430420E-06      0.28865799E-12       0       0
  78   0.20101708E+02     -0.51480800E-03       0.61848019E-02        0.37746096E+05      0.67974511E-06      0.38857806E-12       0       0
  79   0.20359422E+02     -0.47463062E-03       0.56900826E-02        0.37335559E+05      0.86583283E-06      0.46629367E-12       0       0
  80   0.20617136E+02     -0.43793541E-03       0.52337996E-02        0.36917277E+05      0.35267439E-06      0.48849813E-12       0       0
  81   0.20874851E+02     -0.40438010E-03       0.48126419E-02        0.36491249E+05      0.34861171E-06      0.54400928E-12       0       0
  82   0.21132565E+02     -0.37365979E-03       0.44236219E-02        0.36057475E+05      0.65773868E-06      0.44408921E-12       0       0
  83   0.21390279E+02     -0.34550253E-03       0.40640408E-02        0.35615955E+05      0.66185465E-06      0.26645353E-12       0       0
  84   0.21647993E+02     -0.31964412E-03       0.37314674E-02        0.35151197E+05      0.33581220E-06      0.56621374E-12       0       0
  85   0.21905707E+02     -0.29589877E-03       0.34236960E-02        0.34686439E+05      0.33132968E-06      0.32196468E-12       0       0
  86   0.22163422E+02     -0.27405048E-03       0.31387214E-02        0.34206189E+05      0.37895446E-06      0.62172489E-12       0       0
  87   0.22421136E+02     -0.25392440E-03       0.28747339E-02        0.33710447E+05      0.32201375E-06      0.39968029E-12       0       0
  88   0.22678850E+02     -0.23536346E-03       0.26300900E-02        0.33199213E+05      0.31717044E-06      0.82156504E-12       0       0
  89   0.22936564E+02     -0.21823776E-03       0.24032894E-02        0.32680233E+05      0.68211831E-06      0.38857806E-12       0       0
  90   0.23194278E+02     -0.20240924E-03       0.21929659E-02        0.32145762E+05      0.87334196E-06      0.55511151E-12       0       0
  91   0.23451993E+02     -0.18776341E-03       0.19978795E-02        0.31595798E+05      0.30182453E-06      0.41078252E-12       0       0
  92   0.23709707E+02     -0.17419706E-03       0.18168993E-02        0.31030343E+05      0.29641423E-06      0.29976022E-12       0       0
  93   0.23967421E+02     -0.16161701E-03       0.16489923E-02        0.30449395E+05      0.51922324E-06      0.68833828E-12       0       0
  94   0.24225135E+02     -0.14992721E-03       0.14932202E-02        0.29845210E+05      0.28510094E-06      0.98809849E-12       0       0
  95   0.24482850E+02     -0.13906322E-03       0.13487249E-02        0.29225532E+05      0.27917800E-06      0.34416914E-12       0       0
  96   0.24740564E+02     -0.12894408E-03       0.12147213E-02        0.28582617E+05      0.43561808E-06      0.44408921E-12       0       0
  97   0.24998278E+02     -0.11951942E-03       0.10904895E-02        0.27924210E+05      0.26674098E-06      0.37747583E-12       0       0
  98   0.25255992E+02     -0.11070814E-03       0.97537576E-03        0.27234819E+05      0.26019761E-06      0.58841820E-12       0       0
  99   0.25513706E+02     -0.10248351E-03       0.86877993E-03        0.26529936E+05      0.25341692E-06      0.46629367E-12       0       0
 100   0.25771421E+02     -0.94774144E-04       0.77015110E-03        0.25794069E+05      0.32355338E-06      0.48849813E-12       0       0
 101   0.26029135E+02     -0.87537600E-04       0.67899523E-03        0.25027218E+05      0.23905792E-06      0.31086245E-12       0       0
 102   0.26286849E+02     -0.80735508E-04       0.59485867E-03        0.24229384E+05      0.27864841E-06      0.45519144E-12       0       0
 103   0.26544563E+02     -0.74320246E-04       0.51733080E-03        0.23392819E+05      0.22346444E-06      0.84376950E-12       0       0
 104   0.26802277E+02     -0.68260318E-04       0.44604052E-03        0.22517525E+05      0.30933517E-06      0.57731597E-12       0       0
 105   0.27059992E+02     -0.62527526E-04       0.38064659E-03        0.21603501E+05      0.20635805E-06      0.46629367E-12       0       0
 106   0.27317706E+02     -0.57070004E-04       0.32084783E-03        0.20635255E+05      0.19711505E-06      0.17763568E-12       0       0
 107   0.27575420E+02     -0.51865013E-04       0.26638032E-03        0.19612788E+05      0.23678519E-06      0.52180482E-12       0       0
 108   0.27833134E+02     -0.46865604E-04       0.21701501E-03        0.18520606E+05      0.18570101E-06      0.47739590E-12       0       0
 109   0.28090848E+02     -0.42027084E-04       0.17256867E-03        0.17343219E+05      0.16569819E-06      0.34416914E-12       0       0
 110   0.28348563E+02     -0.37335088E-04       0.13288758E-03        0.16080627E+05      0.18961062E-06      0.42188475E-12       0       0
 111   0.28606277E+02     -0.32695572E-04       0.97872252E-04        0.14686353E+05      0.36411944E-06      0.28865799E-12       0       0
 112   0.28863991E+02     -0.28059571E-04       0.67494680E-04        0.13137160E+05      0.12546105E-06      0.35527137E-12       0       0
 113   0.29121705E+02     -0.23283478E-04       0.41823156E-04        0.11355587E+05      0.26474765E-06      0.15543122E-12       0       0
 114   0.29379419E+02     -0.18161526E-04       0.21100654E-04        0.92177004E+04      0.88059034E-07      0.28865799E-12       0       0
 115   0.29637134E+02     -0.12019890E-04       0.60099452E-05        0.63749306E+04      0.60898062E-07      0.17763568E-12       0       0
 116   0.29894848E+02      0.00000000E+00       0.00000000E+00        0.00000000E+00      0.00000000E+00      0.00000000E+00       0       0
 
