energy#1, (U= 500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.36960015E+02        0.43299954E+05      0.13724327E+02      0.42142312E-05       0       0
   1   0.25771421E+00      0.29815738E+01      -0.33898432E+02        0.43307700E+05      0.13660555E+02      0.40665547E-05       0       0
   2   0.51542841E+00      0.28642190E+01      -0.30975535E+02        0.43338684E+05      0.13531856E+02      0.38586829E-05       0       0
   3   0.77314262E+00      0.27488732E+01      -0.28168989E+02        0.43385159E+05      0.13335407E+02      0.35174394E-05       0       0
   4   0.10308568E+01      0.26338072E+01      -0.25477649E+02        0.43447127E+05      0.13077275E+02      0.31910775E-05       0       0
   5   0.12885710E+01      0.25184695E+01      -0.22901511E+02        0.43524587E+05      0.12756393E+02      0.26349049E-05       0       0
   6   0.15462852E+01      0.24025587E+01      -0.20440997E+02        0.43617538E+05      0.12375035E+02      0.23896552E-05       0       0
   7   0.18039994E+01      0.22858499E+01      -0.18096792E+02        0.43733728E+05      0.11945730E+02      0.20622867E-05       0       0
   8   0.20617136E+01      0.21681444E+01      -0.15869795E+02        0.43857663E+05      0.11503757E+02      0.15897352E-05       0       0
   9   0.23194278E+01      0.20492516E+01      -0.13761097E+02        0.44004837E+05      0.11143033E+02      0.13919759E-05       0       0
  10   0.25771421E+01      0.19289822E+01      -0.11771980E+02        0.44175248E+05      0.10728268E+02      0.11009256E-05       0       0
  11   0.28348563E+01      0.18071448E+01      -0.99039167E+01        0.44361151E+05      0.10256965E+02      0.92642035E-06       0       0
  12   0.30925705E+01      0.16835467E+01      -0.81585709E+01        0.44570292E+05      0.97256806E+01      0.90025595E-06       0       0
  13   0.33502847E+01      0.15579905E+01      -0.65378023E+01        0.44802671E+05      0.91308006E+01      0.10517040E-05       0       0
  14   0.36079989E+01      0.14302434E+01      -0.50436853E+01        0.45058288E+05      0.84718786E+01      0.91266331E-06       0       0
  15   0.38657131E+01      0.12999640E+01      -0.36785816E+01        0.45337143E+05      0.77494375E+01      0.86700109E-06       0       0
  16   0.41234273E+01      0.11668956E+01      -0.24451519E+01        0.45646982E+05      0.70122593E+01      0.11999471E-05       0       0
  17   0.43811415E+01      0.10308785E+01      -0.13462648E+01        0.45990000E+05      0.62273478E+01      0.13262201E-05       0       0
  18   0.46388557E+01      0.89189237E+00      -0.38487939E+00        0.46370000E+05      0.54013785E+01      0.20252630E-05       0       0
  19   0.48965699E+01      0.74995971E+00       0.43604665E+00        0.46777893E+05      0.45518839E+01      0.22906306E-05       0       0
  20   0.51542841E+01      0.60490809E+00       0.11134805E+01        0.47227159E+05      0.38191918E+01      0.31885285E-05       0       0
  21   0.54119983E+01      0.45776757E+00       0.16448184E+01        0.47715155E+05      0.32543701E+01      0.69540292E-05       0       0
  22   0.56697125E+01      0.31048081E+00       0.20289426E+01        0.48230000E+05      0.27270129E+01      0.57010425E-05       0       0
  23   0.59274267E+01      0.16539243E+00       0.22668792E+01        0.48780000E+05      0.22432588E+01      0.29133743E-05       0       0
  24   0.61851409E+01      0.29097031E-01       0.23641239E+01        0.49341808E+05      0.18060225E+01      0.17490462E-05       0       0
  25   0.64428551E+01     -0.90241504E-01       0.23335517E+01        0.49860788E+05      0.14195139E+01      0.13731442E-05       0       0
  26   0.67005693E+01     -0.18080396E+00       0.21980289E+01        0.50286816E+05      0.10872440E+01      0.80840082E-06       0       0
  27   0.69582835E+01     -0.23537798E+00       0.19899380E+01        0.50557925E+05      0.81188469E+00      0.59354885E-06       0       0
  28   0.72159978E+01     -0.25191886E+00       0.17462896E+01        0.50650876E+05      0.59367011E+00      0.62911902E-06       0       0
  29   0.74737120E+01     -0.23891762E+00       0.15008713E+01        0.50573417E+05      0.43043400E+00      0.79874900E-06       0       0
  30   0.77314262E+01     -0.21247670E+00       0.12751742E+01        0.50403005E+05      0.31308477E+00      0.10385494E-05       0       0
  31   0.79891404E+01     -0.18219849E+00       0.10778366E+01        0.50178372E+05      0.23032396E+00      0.11112317E-05       0       0
  32   0.82468546E+01     -0.15342887E+00       0.91002288E+00        0.49938247E+05      0.17162454E+00      0.11355743E-05       0       0
  33   0.85045688E+01     -0.12820070E+00       0.76920810E+00        0.49698122E+05      0.12951062E+00      0.11434882E-05       0       0
  34   0.87622830E+01     -0.10657999E+00       0.65181776E+00        0.49457997E+05      0.99065709E-01      0.11490983E-05       0       0
