energy#1, (U= 1500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.12522634E+03        0.21374574E+06      0.84347152E-01      0.10282167E-02       0       0
   2   0.13349777E+00      0.30710493E+01      -0.11901369E+03        0.21376810E+06      0.84380293E-01      0.81382142E-03       0       0
   4   0.26699554E+00      0.30127668E+01      -0.11292988E+03        0.21379046E+06      0.84380038E-01      0.81969816E-03       0       0
   6   0.40049331E+00      0.29548340E+01      -0.10696228E+03        0.21381282E+06      0.84842631E-01      0.92665112E-03       0       0
   8   0.53399109E+00      0.28969387E+01      -0.10111050E+03        0.21385754E+06      0.85028075E-01      0.80077003E-03       0       0
  10   0.66748886E+00      0.28389916E+01      -0.95374574E+02        0.21392462E+06      0.85560471E-01      0.89099623E-03       0       0
  12   0.80098663E+00      0.27809461E+01      -0.89754636E+02        0.21399171E+06      0.85979554E-01      0.88918824E-03       0       0
  14   0.93448440E+00      0.27227729E+01      -0.84250917E+02        0.21408115E+06      0.86449843E-01      0.90139831E-03       0       0
  16   0.10679822E+01      0.26644509E+01      -0.78863693E+02        0.21417059E+06      0.87099107E-01      0.76970757E-03       0       0
  18   0.12014799E+01      0.26059708E+01      -0.73593271E+02        0.21426003E+06      0.87901375E-01      0.81500236E-03       0       0
  20   0.13349777E+01      0.25473291E+01      -0.68439971E+02        0.21437184E+06      0.88615453E-01      0.77265789E-03       0       0
  22   0.14684755E+01      0.24885360E+01      -0.63404106E+02        0.21446128E+06      0.89367694E-01      0.77165523E-03       0       0
  24   0.16019733E+01      0.24296111E+01      -0.58485959E+02        0.21457308E+06      0.90402528E-01      0.67831868E-03       0       0
  26   0.17354710E+01      0.23705898E+01      -0.53685758E+02        0.21466253E+06      0.91308141E-01      0.67628657E-03       0       0
  28   0.18689688E+01      0.23115153E+01      -0.49003653E+02        0.21475197E+06      0.92187432E-01      0.66766537E-03       0       0
  30   0.20024666E+01      0.22524384E+01      -0.44439699E+02        0.21484141E+06      0.93203383E-01      0.63677535E-03       0       0
  32   0.21359643E+01      0.21934061E+01      -0.39993855E+02        0.21490849E+06      0.94216558E-01      0.56658229E-03       0       0
  34   0.22694621E+01      0.21344518E+01      -0.35665997E+02        0.21497558E+06      0.95172743E-01      0.59145464E-03       0       0
  36   0.24029599E+01      0.20755760E+01      -0.31455969E+02        0.21502030E+06      0.95910510E-01      0.50057786E-03       0       0
  38   0.25364577E+01      0.20167574E+01      -0.27363636E+02        0.21504266E+06      0.96817757E-01      0.51299517E-03       0       0
  40   0.26699554E+01      0.19579533E+01      -0.23388925E+02        0.21504266E+06      0.97439613E-01      0.47267203E-03       0       0
  42   0.28034532E+01      0.18991187E+01      -0.19531853E+02        0.21502030E+06      0.97921065E-01      0.39682696E-03       0       0
