#iR    R_COM(iR)
  1  0.400000000000E+01
  2  0.521518987342E+01
  3  0.643037974684E+01
  4  0.764556962025E+01
  5  0.886075949367E+01
  6  0.100759493671E+02
  7  0.112911392405E+02
  8  0.125063291139E+02
  9  0.137215189873E+02
 10  0.149367088608E+02
 11  0.161518987342E+02
 12  0.173670886076E+02
 13  0.185822784810E+02
 14  0.197974683544E+02
 15  0.210126582278E+02
 16  0.222278481013E+02
 17  0.234430379747E+02
 18  0.246582278481E+02
 19  0.258734177215E+02
 20  0.270886075949E+02
 21  0.283037974684E+02
 22  0.295189873418E+02
 23  0.307341772152E+02
 24  0.319493670886E+02
 25  0.331645569620E+02
 26  0.343797468354E+02
 27  0.355949367089E+02
 28  0.368101265823E+02
 29  0.380253164557E+02
 30  0.392405063291E+02
 31  0.404556962025E+02
 32  0.416708860759E+02
 33  0.428860759494E+02
 34  0.441012658228E+02
 35  0.453164556962E+02
 36  0.465316455696E+02
 37  0.477468354430E+02
 38  0.489620253165E+02
 39  0.501772151899E+02
 40  0.513924050633E+02
 41  0.526075949367E+02
 42  0.538227848101E+02
 43  0.550379746835E+02
 44  0.562531645570E+02
 45  0.574683544304E+02
 46  0.586835443038E+02
 47  0.598987341772E+02
 48  0.611139240506E+02
 49  0.623291139241E+02
 50  0.635443037975E+02
 51  0.647594936709E+02
 52  0.659746835443E+02
 53  0.671898734177E+02
 54  0.684050632911E+02
 55  0.696202531646E+02
 56  0.708354430380E+02
 57  0.720506329114E+02
 58  0.732658227848E+02
 59  0.744810126582E+02
 60  0.756962025316E+02
 61  0.769113924051E+02
 62  0.781265822785E+02
 63  0.793417721519E+02
 64  0.805569620253E+02
 65  0.817721518987E+02
 66  0.829873417722E+02
 67  0.842025316456E+02
 68  0.854177215190E+02
 69  0.866329113924E+02
 70  0.878481012658E+02
 71  0.890632911392E+02
 72  0.902784810127E+02
 73  0.914936708861E+02
 74  0.927088607595E+02
 75  0.939240506329E+02
 76  0.951392405063E+02
 77  0.963544303797E+02
 78  0.975696202532E+02
 79  0.987848101266E+02
 80  0.100000000000E+03
