energy#1, (U= 300.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.38186509E+02        0.47445000E+05      0.69446248E-05      0.22810560E-06       0       0
   1   0.24753815E+00      0.29803493E+01      -0.35125538E+02        0.47460000E+05      0.16939963E-04      0.22550228E-06       0       0
   2   0.49507630E+00      0.28621631E+01      -0.32204282E+02        0.47490000E+05      0.10799069E-04      0.22038380E-06       0       0
   3   0.74261445E+00      0.27460999E+01      -0.29400150E+02        0.47550000E+05      0.82338420E-05      0.21279332E-06       0       0
   4   0.99015260E+00      0.26304491E+01      -0.26711876E+02        0.47610000E+05      0.15122547E-04      0.20294961E-06       0       0
   5   0.12376908E+01      0.25146798E+01      -0.24139311E+02        0.47700000E+05      0.24808157E-04      0.19101956E-06       0       0
   6   0.14852289E+01      0.23985034E+01      -0.21682719E+02        0.47805000E+05      0.43631352E-04      0.17729229E-06       0       0
   7   0.17327671E+01      0.22816966E+01      -0.19342619E+02        0.47940000E+05      0.64434349E-04      0.16209034E-06       0       0
   8   0.19803052E+01      0.21640503E+01      -0.17119746E+02        0.48090000E+05      0.88674566E-04      0.14577468E-06       0       0
   9   0.22278434E+01      0.20453530E+01      -0.15015044E+02        0.48270000E+05      0.11530757E-03      0.12882340E-06       0       0
  10   0.24753815E+01      0.19254000E+01      -0.13029668E+02        0.48465000E+05      0.13927516E-03      0.11170365E-06       0       0
  11   0.27229197E+01      0.18040664E+01      -0.11164935E+02        0.48705000E+05      0.15617487E-03      0.94936858E-07       0       0
  12   0.29704578E+01      0.16812593E+01      -0.94222718E+01        0.48960000E+05      0.16147192E-03      0.78961238E-07       0       0
  13   0.32179960E+01      0.15568699E+01      -0.78032072E+01        0.49245000E+05      0.15107656E-03      0.64117778E-07       0       0
  14   0.34655341E+01      0.14308165E+01      -0.63093640E+01        0.49575000E+05      0.12741307E-03      0.50680282E-07       0       0
  15   0.37130723E+01      0.13029476E+01      -0.49424820E+01        0.49920000E+05      0.92846188E-04      0.38801318E-07       0       0
  16   0.39606104E+01      0.11727688E+01      -0.37046238E+01        0.50310000E+05      0.98943316E-04      0.28579050E-07       0       0
  17   0.42081486E+01      0.10400617E+01      -0.25982085E+01        0.50760000E+05      0.11171856E-03      0.20117819E-07       0       0
  18   0.44556867E+01      0.90484700E+00      -0.16257541E+01        0.51255000E+05      0.11551458E-03      0.13426593E-07       0       0
  19   0.47032249E+01      0.76736291E+00      -0.78964916E+00        0.51795000E+05      0.16360215E-03      0.84102059E-08       0       0
  20   0.49507630E+01      0.62839058E+00      -0.91772416E-01        0.52380000E+05      0.25905791E-03      0.48751669E-08       0       0
  21   0.51983012E+01      0.48868139E+00       0.46676357E+00        0.53025000E+05      0.35169373E-03      0.25589530E-08       0       0
  22   0.54458393E+01      0.35049116E+00       0.88634985E+00        0.53715000E+05      0.40771479E-03      0.11849410E-08       0       0
  23   0.56933775E+01      0.21761051E+00       0.11704007E+01        0.54435000E+05      0.40031304E-03      0.46853632E-09       0       0
  24   0.59409156E+01      0.95878606E-01       0.13271452E+01        0.55125000E+05      0.32894216E-03      0.15527579E-09       0       0
  25   0.61884538E+01     -0.67148051E-02       0.13717271E+01        0.55725000E+05      0.22440836E-03      0.50048854E-10       0       0
  26   0.64359919E+01     -0.82156740E-01       0.13272914E+01        0.56175000E+05      0.12817787E-03      0.27422509E-10       0       0
  27   0.66835301E+01     -0.12661974E+00       0.12229031E+01        0.56385000E+05      0.63722635E-04      0.24802382E-10       0       0
  28   0.69310682E+01     -0.14340925E+00       0.10878886E+01        0.56370000E+05      0.29781097E-04      0.22559732E-10       0       0
  29   0.71786064E+01     -0.14104721E+00       0.94566040E+00        0.56175000E+05      0.14690105E-04      0.18740565E-10       0       0
  30   0.74261445E+01     -0.12849321E+00       0.81089019E+00        0.55845000E+05      0.86501031E-05      0.13899992E-10       0       0
  31   0.76736827E+01     -0.11218390E+00       0.69055163E+00        0.55455000E+05      0.63609735E-05      0.94813046E-11       0       0
  32   0.79212208E+01     -0.95705477E-01       0.58660694E+00        0.55020000E+05      0.55047709E-05      0.64170891E-11       0       0
  33   0.81687590E+01     -0.80683740E-01       0.49841233E+00        0.54585000E+05      0.10436500E-04      0.38413717E-11       0       0
  34   0.84162971E+01     -0.67665734E-01       0.42423760E+00        0.54150000E+05      0.56882998E-05      0.26867397E-11       0       0
  35   0.86638353E+01     -0.56675325E-01       0.36206707E+00        0.53700000E+05      0.12876604E-04      0.17985613E-11       0       0
  36   0.89113734E+01     -0.47519655E-01       0.30996958E+00        0.53250000E+05      0.49102627E-05      0.11546319E-11       0       0
  37   0.91589116E+01     -0.39939620E-01       0.26623994E+00        0.52815000E+05      0.48691254E-05      0.57731597E-12       0       0
  38   0.94064497E+01     -0.33675710E-01       0.22943228E+00        0.52365000E+05      0.48304671E-05      0.82156504E-12       0       0
  39   0.96539879E+01     -0.28496523E-01       0.19834616E+00        0.51915000E+05      0.77447950E-05      0.55511151E-12       0       0
  40   0.99015260E+01     -0.24204853E-01       0.17199547E+00        0.51450000E+05      0.47526706E-05      0.33306691E-12       0       0
  41   0.10149064E+02     -0.20637621E-01       0.14957424E+00        0.50985000E+05      0.47123954E-05      0.33306691E-12       0       0
  42   0.10396602E+02     -0.17662126E-01       0.13042436E+00        0.50505000E+05      0.46709173E-05      0.35527137E-12       0       0
  43   0.10644140E+02     -0.15170643E-01       0.11400798E+00        0.50025000E+05      0.87401689E-05      0.55511151E-12       0       0
  44   0.10891679E+02     -0.13076253E-01       0.99884530E-01        0.49515000E+05      0.54137687E-05      0.26645353E-12       0       0
  45   0.11139217E+02     -0.11309023E-01       0.87691891E-01        0.49005000E+05      0.65296563E-05      0.44408921E-12       0       0
  46   0.11386755E+02     -0.98120660E-02       0.77131347E-01        0.48480000E+05      0.46965993E-05      0.37747583E-12       0       0
  47   0.11634293E+02     -0.85394905E-02       0.67955569E-01        0.47940000E+05      0.44426717E-05      0.53290705E-12       0       0
  48   0.11881831E+02     -0.74538630E-02       0.59958892E-01        0.47400000E+05      0.77179399E-05      0.48849813E-12       0       0
  49   0.12129369E+02     -0.65244274E-02       0.52969747E-01        0.46830000E+05      0.67998516E-05      0.32196468E-12       0       0
  50   0.12376908E+02     -0.57260575E-02       0.46844504E-01        0.46230000E+05      0.42870824E-05      0.19984014E-12       0       0
  51   0.12624446E+02     -0.50382395E-02       0.41462356E-01        0.45630000E+05      0.78570392E-05      0.55511151E-12       0       0
  52   0.12871984E+02     -0.44437946E-02       0.36721339E-01        0.45015000E+05      0.44482580E-05      0.26645353E-12       0       0
  53   0.13119522E+02     -0.39283701E-02       0.32535256E-01        0.44370000E+05      0.41155656E-05      0.48849813E-12       0       0
  54   0.13367060E+02     -0.34802551E-02       0.28830944E-01        0.43710000E+05      0.62953984E-05      0.26645353E-12       0       0
  55   0.13614598E+02     -0.30894297E-02       0.25546101E-01        0.43020000E+05      0.39912654E-05      0.84376950E-12       0       0
  56   0.13862136E+02     -0.27477010E-02       0.22627536E-01        0.42315000E+05      0.39392707E-05      0.27755576E-12       0       0
  57   0.14109675E+02     -0.24479818E-02       0.20029694E-01        0.41580000E+05      0.38582499E-05      0.62172489E-12       0       0
  58   0.14357213E+02     -0.21843658E-02       0.17713521E-01        0.40815000E+05      0.51265523E-05      0.39968029E-12       0       0
  59   0.14604751E+02     -0.19520009E-02       0.15645337E-01        0.40035000E+05      0.37155020E-05      0.46629367E-12       0       0
  60   0.14852289E+02     -0.17465355E-02       0.13796069E-01        0.39225000E+05      0.47634044E-05      0.17763568E-12       0       0
  61   0.15099827E+02     -0.15642535E-02       0.12140675E-01        0.38370000E+05      0.49659384E-05      0.39968029E-12       0       0
  62   0.15347365E+02     -0.14023429E-02       0.10657376E-01        0.37500000E+05      0.34805165E-05      0.62172489E-12       0       0
  63   0.15594903E+02     -0.12579320E-02       0.93272391E-02        0.36585000E+05      0.33958435E-05      0.33306691E-12       0       0
  64   0.15842442E+02     -0.11287819E-02       0.81338822E-02        0.35625000E+05      0.33076319E-05      0.24424907E-12       0       0
  65   0.16089980E+02     -0.10130969E-02       0.70629428E-02        0.34635000E+05      0.61875444E-05      0.51070259E-12       0       0
  66   0.16337518E+02     -0.90909641E-03       0.61018461E-02        0.33600000E+05      0.31192737E-05      0.64392935E-12       0       0
  67   0.16585056E+02     -0.81521803E-03       0.52396889E-02        0.32505000E+05      0.30184035E-05      0.42188475E-12       0       0
  68   0.16832594E+02     -0.73036817E-03       0.44668958E-02        0.31365000E+05      0.29124578E-05      0.17763568E-12       0       0
  69   0.17080132E+02     -0.65334956E-03       0.37750369E-02        0.30165000E+05      0.50132967E-05      0.15543122E-12       0       0
  70   0.17327671E+02     -0.58309974E-03       0.31568123E-02        0.28890000E+05      0.26829071E-05      0.25535130E-12       0       0
  71   0.17575209E+02     -0.51897079E-03       0.26057770E-02        0.27555000E+05      0.40943936E-05      0.28865799E-12       0       0
  72   0.17822747E+02     -0.45984169E-03       0.21163708E-02        0.26115000E+05      0.24611729E-05      0.48849813E-12       0       0
  73   0.18070285E+02     -0.40511921E-03       0.16838903E-02        0.24570000E+05      0.22808047E-05      0.44408921E-12       0       0
  74   0.18317823E+02     -0.35399969E-03       0.13043309E-02        0.22890000E+05      0.25914791E-05      0.46629367E-12       0       0
  75   0.18565361E+02     -0.30590672E-03       0.97437765E-03        0.21060000E+05      0.19558214E-05      0.38857806E-12       0       0
  76   0.18812899E+02     -0.26003939E-03       0.69140459E-03        0.19035000E+05      0.17671923E-05      0.17763568E-12       0       0
  77   0.19060438E+02     -0.21520597E-03       0.45378191E-03        0.16725000E+05      0.34704555E-05      0.37747583E-12       0       0
  78   0.19307976E+02     -0.17000337E-03       0.26117724E-03        0.14010000E+05      0.13002658E-05      0.34416914E-12       0       0
  79   0.19555514E+02     -0.12105023E-03       0.11565044E-03        0.10560000E+05      0.28529461E-05      0.16653345E-12       0       0
  80   0.19803052E+02     -0.55110427E-04       0.27570115E-04        0.50700000E+04      0.63922021E-06      0.66613381E-13       0       0
  81   0.20050590E+02      0.00000000E+00       0.14901161E-07        0.13674000E+06      0.62660886E-12      0.00000000E+00       0       0
  82   0.20298128E+02      0.00000000E+00       0.14901161E-07        0.13722000E+06      0.59488183E-12      0.00000000E+00       0       0
  83   0.20545666E+02      0.14901161E-07       0.22351742E-07        0.13770000E+06      0.11382072E-11      0.00000000E+00       0       0
  84   0.20793205E+02      0.00000000E+00       0.29802322E-07        0.13816500E+06      0.47590546E-12      0.00000000E+00       0       0
  85   0.21040743E+02      0.00000000E+00       0.29802322E-07        0.13864500E+06      0.13483988E-11      0.00000000E+00       0       0
  86   0.21288281E+02      0.00000000E+00       0.29802322E-07        0.13911000E+06      0.60281358E-12      0.00000000E+00       0       0
  87   0.21535819E+02      0.00000000E+00       0.29802322E-07        0.13959000E+06      0.16339421E-11      0.00000000E+00       0       0
  88   0.21783357E+02     -0.14901161E-07       0.22351742E-07        0.14005500E+06      0.59091595E-12      0.00000000E+00       0       0
  89   0.22030895E+02      0.00000000E+00       0.14901161E-07        0.14052000E+06      0.12849447E-11      0.00000000E+00       0       0
